slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning
codex/gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
codex/gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
codex/gpt-image-1.5,GPT Image 1.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
codex/gpt-image-2,GPT Image 2,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
commandcode/MiniMaxAI/MiniMax-M2.5,MiniMax-M2.5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/MiniMaxAI/MiniMax-M2.7,MiniMax-M2.7,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/MiniMaxAI/MiniMax-M3,MiniMax-M3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,512000,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.6-Max-Preview,Qwen3.6 Max Preview,"[""text""]","[""text""]",262144,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.6-Plus,Qwen3.6 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.7-Flash,Qwen3.7 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,991000,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.7-Max,Qwen3.7 Max,"[""text""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.7-Plus,Qwen3.7 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.8-27B,Qwen3.8 27B,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,32768,"[""low"",""medium"",""high""]",medium
commandcode/Qwen/Qwen3.8-Flash,Qwen3.8 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""xhigh""]",medium
commandcode/Qwen/Qwen3.8-Max,Qwen3.8 Max,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""xhigh""]",medium
commandcode/Qwen/Qwen3.8-Max-0902,Qwen3.8 Max 0902,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/claude-fable-5,Claude Fable 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/claude-fable-5-1,Claude Fable 5.1,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/claude-haiku-4-5-20251001,Claude Haiku 4.5,"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
commandcode/claude-opus-4-7,Claude Opus 4.7,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/claude-opus-4-8,Claude Opus 4.8,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/claude-opus-5,Claude Opus 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/claude-sonnet-4-6,Claude Sonnet 4.6,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""max""]",medium
commandcode/claude-sonnet-5,Claude Sonnet 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/deepseek/deepseek-v4-flash,DeepSeek V4 Flash,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[""low"",""high"",""max""]",medium
commandcode/deepseek/deepseek-v4-flash-fast,DeepSeek V4 Flash Fast,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
commandcode/deepseek/deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,"[""text"",""image""]","[""text""]",1000000,未知,未知,未知,384000,"[""low"",""high"",""max""]",medium
commandcode/deepseek/deepseek-v4-pro,DeepSeek V4 Pro,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[""high"",""max""]",medium
commandcode/google/gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium
commandcode/google/gemini-3.5-flash,Gemini 3.5 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium
commandcode/google/gemini-3.5-flash-lite,Gemini 3.5 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium
commandcode/google/gemini-3.6-flash,Gemini 3.6 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium
commandcode/google/gemini-3.7-flash,Gemini 3.7 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/google/gemini-3.8-flash,Gemini 3.8 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/gpt-5.3-codex,GPT-5.3 Codex,"[""text"",""image"",""pdf""]","[""text""]",400000,272000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/gpt-5.4,GPT-5.4,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/gpt-5.4-mini,GPT-5.4 mini,"[""text"",""image""]","[""text""]",400000,272000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/meituan/LongCat-2.0:free,LongCat 2.0,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
commandcode/meta/muse-spark-1.1,Muse Spark 1.1,"[""text"",""image"",""pdf"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/meta/muse-spark-1.2,Muse Spark 1.2,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/meta/muse-spark-1.2-contributor,Muse Spark 1.2 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/meta/muse-spark-1.3,Muse Spark 1.3,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/meta/muse-spark-1.3-contributor,Muse Spark 1.3 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium
commandcode/moonshotai/Kimi-K2.5,Kimi K2.5,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
commandcode/moonshotai/Kimi-K2.6,Kimi K2.6,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
commandcode/moonshotai/Kimi-K2.7-Code,Kimi K2.7 Code,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
commandcode/moonshotai/Kimi-K2.7-Code-Highspeed,Kimi K2.7 Code HighSpeed,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
commandcode/moonshotai/Kimi-K3,Kimi K3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
commandcode/nvidia/nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B,"[""text""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
commandcode/poolside/laguna-s-2.1-free,Laguna S 2.1,"[""text"",""image""]",未知,256000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
commandcode/sakana/fugu-ultra,Fugu Ultra,"[""text"",""image""]","[""text""]",1000000,未知,未知,未知,1000000,"[""high"",""xhigh""]",medium
commandcode/stepfun/Step-3.5-Flash,Step 3.5 Flash,"[""text""]","[""text""]",256000,256000,未知,未知,256000,"[""low"",""high""]",medium
commandcode/stepfun/Step-3.7-Flash,Step 3.7 Flash,"[""text"",""image"",""video""]","[""text""]",256000,256000,未知,未知,256000,"[""low"",""medium"",""high""]",medium
commandcode/tencent/hy3-paid,Tencent Hy3,"[""text"",""image""]",未知,262144,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
commandcode/tencent/hy4-preview,Hy4 preview,"[""text""]","[""text""]",1024000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
commandcode/thinkingmachines/inkling,Inkling,"[""text"",""image""]","[""text""]",65536,未知,未知,未知,65536,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
commandcode/thinkingmachines/inkling-small,Inkling Small,"[""text"",""image"",""audio""]","[""text""]",1048576,未知,未知,未知,1048576,"[""low"",""medium"",""high""]",medium
commandcode/xai/grok-4.5,Grok 4.5,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,未知,未知,500000,"[""low"",""medium"",""high""]",medium
commandcode/xai/grok-4.6,Grok 4.6,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,未知,未知,500000,"[""low"",""medium"",""high"",""xhigh""]",medium
commandcode/xiaomi/mimo-v2.5,MiMo-V2.5,"[""text"",""image"",""audio"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/xiaomi/mimo-v2.5-pro,MiMo-V2.5-Pro,"[""text""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/z-ai/glm-5.3-flash,GLM-5.3-Flash,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
commandcode/zai-org/GLM-5,GLM-5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/zai-org/GLM-5.1,GLM-5.1,"[""text""]","[""text""]",200000,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
commandcode/zai-org/GLM-5.2,GLM-5.2,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""high"",""max""]",medium
commandcode/zai-org/GLM-5.2-Fast,GLM-5.2 Fast,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
commandcode/zai-org/GLM-5.3,GLM-5.3,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
congee/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
congee/gpt-5.6,GPT-5.6,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
congee/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
congee/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
congee/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
congee/gpt-6,gpt-6,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
congee/gpt-6-astra,GPT-6 Astra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
gmicloud/MiniMaxAI/MiniMax-M3,MiniMaxAI/MiniMax-M3,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
grok-4.7,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
kimi-coding/kimi-k2,Kimi K2,"[""text""]",未知,131072,未知,32768,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
kimi-coding/kimi-k2-thinking,Kimi K2 Thinking,"[""text""]",未知,131072,未知,32768,未知,未知,"[""low"",""high""]",low
kimi-coding/kimi-k2.5,Kimi K2.5,"[""text"",""image""]",未知,262144,未知,32768,未知,未知,"[""low"",""high""]",low
kimi-coding/kimi-k2.6,Kimi K2.6,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[""low"",""high""]",low
kimi-coding/kimi-k2.7-code,Kimi K2.7 Code,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[""low"",""high""]",low
kimi-coding/kimi-k2.7-code-highspeed,Kimi K2.7 Code HighSpeed,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[""low"",""high""]",low
kimi-coding/kimi-k3,Kimi K3,"[""text"",""image""]",未知,1048576,未知,65536,未知,未知,"[""low"",""high"",""max""]",low
kimi-coding/kimi-k3-256k,Kimi K3 256K,"[""text"",""image""]",未知,262144,未知,65536,未知,未知,"[""low"",""high"",""max""]",low
nim/deepseek-ai/deepseek-v4-flash-0731,deepseek-ai/deepseek-v4-flash-0731,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
nim/minimaxai/minimax-m3,minimaxai/minimax-m3,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
nim/moonshotai/kimi-k3,Kimi K3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
ollama-cloud/deepseek-v4-flash:0731,DeepSeek V4 Flash 0731,"[""text""]","[""text""]",1048576,未知,未知,未知,1048576,"[""high"",""max""]",medium
ollama-cloud/deepseek-v4-pro:0813,deepseek-v4-pro:0813,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
ollama-cloud/gemma4:31b,gemma4:31b,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
ollama-cloud/glm-5.1,glm-5.1,"[""text""]","[""text""]",202752,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
ollama-cloud/glm-5.2,GLM-5.2,"[""text""]","[""text""]",1048576,未知,未知,未知,131072,"[""high"",""max""]",medium
ollama-cloud/glm-5.3,GLM-5.3,"[""text""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
ollama-cloud/glm-5.3-flash,GLM-5.3-Flash,"[""text"",""image"",""video"",""pdf""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
ollama-cloud/gpt-oss:120b,gpt-oss:120b,"[""text""]","[""text""]",131072,未知,未知,未知,32768,"[""low"",""medium"",""high""]",medium
ollama-cloud/gpt-oss:20b,gpt-oss:20b,"[""text""]","[""text""]",131072,未知,未知,未知,32768,"[""low"",""medium"",""high""]",medium
ollama-cloud/kimi-k2.6,kimi-k2.6,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
ollama-cloud/kimi-k2.7-code,kimi-k2.7-code,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
ollama-cloud/kimi-k3,kimi-k3,"[""text"",""image""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
ollama-cloud/minimax-m2.7,minimax-m2.7,"[""text""]","[""text""]",196608,未知,未知,未知,196608,"[""low"",""medium"",""high""]",medium
ollama-cloud/minimax-m3,minimax-m3,"[""text"",""image"",""video""]","[""text""]",512000,未知,未知,未知,131072,"[""low"",""medium"",""high"",""max""]",medium
ollama-cloud/mistral-large-3:675b,mistral-large-3:675b,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium
ollama-cloud/nemotron-3-nano:30b,nemotron-3-nano:30b,"[""text""]","[""text""]",262144,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
ollama-cloud/nemotron-3-super,nemotron-3-super,"[""text""]","[""text""]",262144,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
ollama-cloud/nemotron-3-ultra,nemotron-3-ultra,"[""text""]","[""text""]",262144,未知,未知,未知,128000,"[""low"",""medium"",""high""]",medium
ollama-cloud/qwen3.5:397b,qwen3.5:397b,"[""text"",""image""]","[""text""]",262144,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-fable-5,Claude Fable 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
shuaiapi/claude-fable-5-1,Claude Fable 5.1,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
shuaiapi/claude-haiku-4-5,Claude Haiku 4.5 (latest),"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-haiku-4-5-20251001,Claude Haiku 4.5,"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-opus-4-5,Claude Opus 4.5 (latest),"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-opus-4-5-20251101,Claude Opus 4.5,"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-opus-4-6,Claude Opus 4.6,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""max""]",medium
shuaiapi/claude-opus-4-7,Claude Opus 4.7,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
shuaiapi/claude-opus-4-8,Claude Opus 4.8,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
shuaiapi/claude-opus-5,Claude Opus 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
shuaiapi/claude-sonnet-4-5-20250929,Claude Sonnet 4.5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
shuaiapi/claude-sonnet-4-6,Claude Sonnet 4.6,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""max""]",medium
shuaiapi/claude-sonnet-5,Claude Sonnet 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
supergrok/grok-3-mini,Grok 3 Mini,"[""text""]",未知,131072,未知,32768,未知,未知,"[""low"",""medium"",""high""]",medium
supergrok/grok-3-mini-fast,Grok 3 Mini Fast,"[""text""]",未知,131072,未知,32768,未知,未知,"[""low"",""medium"",""high""]",medium
supergrok/grok-4.20-0309-non-reasoning,Grok 4.20 0309 Non Reasoning,"[""text"",""image""]",未知,2000000,未知,65536,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-4.20-0309-reasoning,Grok 4.20 0309 Reasoning,"[""text"",""image""]",未知,2000000,未知,65536,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-4.20-multi-agent-0309,Grok 4.20 Multi Agent 0309,"[""text"",""image""]",未知,2000000,未知,65536,未知,未知,"[""low"",""medium"",""high""]",medium
supergrok/grok-4.3,Grok 4.3,"[""text"",""image""]",未知,1000000,未知,65536,未知,未知,"[""none"",""low"",""medium"",""high""]",medium
supergrok/grok-4.5,Grok 4.5,"[""text"",""image""]",未知,500000,未知,65536,未知,未知,"[""low"",""medium"",""high""]",medium
supergrok/grok-4.6,Grok 4.6,"[""text"",""image""]",未知,500000,未知,65536,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-build-0.1,Grok Build 0.1,"[""text"",""image""]",未知,256000,未知,256000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-composer-2.5-fast,Composer 2.5 Fast,"[""text"",""image""]",未知,200000,未知,32768,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-image,Grok Imagine Image,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-image-2.0,Grok Imagine Image 2.0,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-image-quality,Grok Imagine Image Quality,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-video,Grok Imagine Video,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-video-1.5,Grok Imagine Video 1.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
supergrok/grok-imagine-video-1.5-preview,Grok Imagine Video 1.5 Preview,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/deepseek-v4-flash,DeepSeek V4 Flash,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[""low"",""high"",""max""]",medium
xl/gemini-3.8-flash-high,Gemini 3.8 Flash,"[""text"",""image""]",未知,1048576,未知,65536,未知,未知,"[""low"",""medium"",""high""]",medium
xl/glm-5.3,GLM-5.3,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
xl/glm-5.3-flash,GLM-5.3-Flash,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
xl/gpt-5.3-codex-spark,GPT-5.3 Codex Spark,"[""text"",""image"",""pdf""]","[""text""]",128000,100000,128000,未知,32000,"[""none"",""low"",""medium"",""high"",""xhigh""]",high
xl/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,128000,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
