slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,历史分类_非当前结论,代码部署前缺失,当前缺失,核心字段变化,id部署前存在,id现在存在,已知风险
codex/gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-image-1.5,GPT Image 1.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-image-2,GPT Image 2,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},False,False,
commandcode/MiniMaxAI/MiniMax-M2.5,MiniMax-M2.5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/MiniMaxAI/MiniMax-M2.7,MiniMax-M2.7,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/MiniMaxAI/MiniMax-M3,MiniMax-M3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,512000,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.6-Max-Preview,Qwen3.6 Max Preview,"[""text""]","[""text""]",262144,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.6-Plus,Qwen3.6 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.7-Flash,Qwen3.7 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,991000,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_tokens,max_completion_tokens","max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.7-Max,Qwen3.7 Max,"[""text""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.7-Plus,Qwen3.7 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.8-27B,Qwen3.8 27B,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,32768,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.8-Flash,Qwen3.8 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.8-Max,Qwen3.8 Max,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/Qwen/Qwen3.8-Max-0902,Qwen3.8 Max 0902,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/claude-fable-5,Claude Fable 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/claude-fable-5-1,Claude Fable 5.1,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/claude-haiku-4-5-20251001,Claude Haiku 4.5,"[""text"",""image"",""pdf""]","[""text""]",200000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":64000}}",True,True,
commandcode/claude-opus-4-7,Claude Opus 4.7,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/claude-opus-4-8,Claude Opus 4.8,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/claude-opus-5,Claude Opus 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/claude-sonnet-4-6,Claude Sonnet 4.6,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""max""}]}}",True,True,
commandcode/claude-sonnet-5,Claude Sonnet 5,"[""text"",""image"",""pdf""]","[""text""]",1000000,未知,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_input_tokens,max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/deepseek/deepseek-v4-flash,DeepSeek V4 Flash,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[""low"",""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/deepseek/deepseek-v4-flash-fast,DeepSeek V4 Flash Fast,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,准确型号未找到，暂留未知,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},True,True,
commandcode/deepseek/deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,"[""text"",""image""]","[""text""]",1000000,未知,未知,未知,384000,"[""low"",""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/deepseek/deepseek-v4-pro,DeepSeek V4 Pro,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/google/gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/google/gemini-3.5-flash,Gemini 3.5 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/google/gemini-3.5-flash-lite,Gemini 3.5 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/google/gemini-3.6-flash,Gemini 3.6 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""minimal"",""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/google/gemini-3.7-flash,Gemini 3.7 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/google/gemini-3.8-flash,Gemini 3.8 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
