slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,行号,分类,缺失字段,建议关注缺项,无需强补的独立字段,补全必要性,补全方式,当前查询证据_固定来源,候选来源与值_非已应用,候选可补字段,候选与已有字段差异_非最终合并,已有值风险,部署时输出字段失去,部署时id存在性变化,验证边界
codex/gpt-5.3-codex-spark,GPT 5.3 Codex Spark,"[""text""]",未知,128000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium,11,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-5.5,GPT 5.5,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium,12,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium,13,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium,14,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium,15,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium,16,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-image-1.5,GPT Image 1.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium,17,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/gpt-image-2,GPT Image 2,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium,18,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/MiniMaxAI/MiniMax-M2.5,MiniMax-M2.5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,19,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/minimax id=minimax-m2.5 hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/MiniMaxAI/MiniMax-M2.7,MiniMax-M2.7,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,20,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/minimax id=minimax-m2.7 hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/MiniMaxAI/MiniMax-M3,MiniMax-M3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,512000,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,21,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/minimax id=minimax-m3 hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/Qwen/Qwen3.6-Max-Preview,Qwen3.6 Max Preview,"[""text""]","[""text""]",262144,未知,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,22,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/alibaba id=qwen3.6-max-preview hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
